doc_id,doc_type,title,model,published
MAN-FAL-3,Manual,Falcon Service Manual (3rd Edition),Falcon,2019-03-01
MAN-HER-2,Manual,Heron Service Manual (2nd Edition),Heron,2020-06-15
MAN-OSP-1,Manual,Osprey Service Manual (1st Edition),Osprey,2021-01-20
TSB-21-114,Bulletin,Revised Ignition Coil for Repeated Misfire,Falcon,2021-09-14
TSB-22-031,Bulletin,Front Brake Judder After Pad Replacement,Heron,2022-04-02
TSB-20-087,Bulletin,Intermittent Wheel Speed Sensor Faults,Heron,2020-11-30
TSB-23-052,Bulletin,Battery Drain and Low System Voltage,Falcon,2023-02-17
TSB-19-008,Bulletin,Catalyst Efficiency Code After Software Update,Falcon,2019-08-22
RC-2021-04,RecallNotice,Safety Recall - Ignition Coil Connector Overheating,Falcon,2021-05-10
RC-2022-09,RecallNotice,Safety Recall - Brake Hose Abrasion,Heron,2022-10-05
