procedure_id,name,labor_hours
PROC-IGN-COIL,Ignition coil replacement,1.2
PROC-MISFIRE-DIAG,Misfire diagnosis,0.8
PROC-BRAKE-FR,Front brake pad and rotor service,1.5
PROC-BRAKE-PAD,Front brake pad replacement,1.0
PROC-BRAKE-HOSE,Brake hose replacement,0.9
PROC-WSS,Wheel speed sensor replacement,0.7
PROC-ABS-DIAG,ABS module diagnosis,0.9
PROC-CHG-DIAG,Charging system diagnosis,0.6
PROC-BATT,Battery replacement,0.4
PROC-ALT,Alternator replacement,1.8
PROC-CAT,Catalytic converter replacement,2.4
PROC-ECM-FLASH,ECM software update,0.5
PROC-OIL,Oil and filter service,0.5
