section_id,doc_id,parent_id,seq,title,text
S-FAL-1,MAN-FAL-3,,1,Engine,Service procedures for the 2.0T and 1.6 litre engine families.
S-FAL-1-1,MAN-FAL-3,S-FAL-1,1,Ignition System Overview,The 2.0T engine uses one coil-on-plug ignition coil (part IC-2042-A) per cylinder with spark plug set SP-1108. Coils are matched to the engine calibration.
S-FAL-1-2,MAN-FAL-3,S-FAL-1,2,Ignition Coil Replacement,Remove the engine cover and disconnect the coil connector. Replace ignition coil IC-2042-A as an assembly. Applies to misfire codes P0301 and P0300 after plug condition is confirmed.
S-FAL-1-3,MAN-FAL-3,S-FAL-1,3,Misfire Diagnosis,"For codes P0300 and P0301, swap coils between cylinders and retest. If the misfire follows the coil, replace it. Inspect spark plug set SP-1108 for gap and fouling."
S-FAL-1-4,MAN-FAL-3,S-FAL-1,4,Exhaust and Catalyst,Catalyst efficiency code P0420 requires upstream and downstream oxygen sensor comparison before replacing catalytic converter CAT-5500.
S-FAL-2,MAN-FAL-3,,2,Electrical,"Charging, battery, and control module service."
S-FAL-2-1,MAN-FAL-3,S-FAL-2,1,Charging System,Test alternator ALT-8810 output under load before replacing battery BAT-1200. Code P0562 indicates system voltage below threshold.
S-FAL-2-2,MAN-FAL-3,S-FAL-2,2,Engine Control Module,Engine control module ECM-9901 must be programmed with the latest calibration after replacement.
S-FAL-3,MAN-FAL-3,,3,Brakes,Brake system inspection and service.
S-FAL-3-1,MAN-FAL-3,S-FAL-3,1,Brake Pad Service,Replace front pads with brake pad kit BP-7720. Measure rotor thickness before reuse.
S-HER-1,MAN-HER-2,,1,Brakes,Brake system service for all Heron variants.
S-HER-1-1,MAN-HER-2,S-HER-1,1,Front Brake Pad and Rotor Service,"Replace pads with brake pad kit BP-7720. On vehicles with judder complaints, replace rotors BR-7731 in pairs - do not machine."
S-HER-1-2,MAN-HER-2,S-HER-1,2,Brake Hose Inspection,Inspect front brake hose BH-7745 for abrasion at the strut bracket at every service.
S-HER-1-3,MAN-HER-2,S-HER-1,3,ABS Diagnosis,Codes C0035 and U0121 - check wheel speed sensor WSS-3300 wiring at the wheel arch before module replacement.
S-HER-2,MAN-HER-2,,2,Chassis Electrical,Electrical service for chassis systems.
S-HER-2-1,MAN-HER-2,S-HER-2,1,Wheel Speed Sensor Replacement,Replace wheel speed sensor WSS-3300 and route the harness clear of the spring. Clears code C0035 after relearn.
S-HER-2-2,MAN-HER-2,S-HER-2,2,Battery and Charging,Battery BAT-1200 and alternator ALT-8810 service points are shared with the Falcon platform.
S-OSP-1,MAN-OSP-1,,1,Electrical,Electrical service for the Osprey platform.
S-OSP-1-1,MAN-OSP-1,S-OSP-1,1,Wheel Speed Sensor Replacement,Replace wheel speed sensor WSS-3300. Code C0035 indicates left front sensor circuit fault.
S-OSP-1-2,MAN-OSP-1,S-OSP-1,2,Charging System,Alternator ALT-8810 output test. Code P0562 sets when system voltage is low at idle.
S-OSP-2,MAN-OSP-1,,2,Engine,Engine service for the 3.5 V6.
S-OSP-2-1,MAN-OSP-1,S-OSP-2,1,Misfire Diagnosis,For code P0300 inspect spark plug set SP-1108 and check for intake leaks before component replacement.
S-TSB21114-1,TSB-21-114,,1,Condition,Some 2019-2021 Falcon vehicles with the 2.0T engine exhibit repeat misfire codes P0301 or P0300 after a coil has already been replaced.
S-TSB21114-2,TSB-21-114,,2,Cause,"The original ignition coil IC-2042-A insulation can degrade under repeated heat cycles, causing intermittent misfire that returns after replacement with the same part."
S-TSB21114-3,TSB-21-114,,3,Repair Procedure,"Replace all coils with revised ignition coil IC-2042-B, which supersedes IC-2042-A. Replace spark plug set SP-1108 if beyond half service life. Do not reinstall IC-2042-A from stock."
S-TSB22031-1,TSB-22-031,,1,Condition,Heron vehicles return with steering wheel vibration under braking within months of a front pad replacement using brake pad kit BP-7720.
S-TSB22031-2,TSB-22-031,,2,Repair Procedure,Replace front rotors BR-7731 in pairs together with brake pad kit BP-7720. Pad-only repairs on worn rotors cause the judder to return.
S-TSB20087-1,TSB-20-087,,1,Condition,"Heron and Osprey vehicles set intermittent codes C0035 or U0121, often with no fault found on retest."
S-TSB20087-2,TSB-20-087,,2,Repair Procedure,Replace wheel speed sensor WSS-3300 and secure the revised harness clip. Do not replace the ABS module for these codes.
S-TSB23052-1,TSB-23-052,,1,Condition,"Falcon vehicles present with code P0562, dim lights at idle, or repeat flat batteries."
S-TSB23052-2,TSB-23-052,,2,Repair Procedure,Test alternator ALT-8810 under load before fitting battery BAT-1200. Battery-only repairs do not correct the underlying low-output alternator.
S-TSB19008-1,TSB-19-008,,1,Condition,"Falcon vehicles set code P0420 following an earlier engine calibration update, with no driveability complaint."
S-TSB19008-2,TSB-19-008,,2,Repair Procedure,Apply the revised calibration. Replace catalytic converter CAT-5500 only if efficiency remains below threshold after the update.
S-RC202104-1,RC-2021-04,,1,Defect Description,"On certain 2019-2020 Falcon vehicles, the ignition coil IC-2042-A connector can overheat, increasing the risk of an engine compartment fire."
S-RC202104-2,RC-2021-04,,2,Remedy,Dealers will replace the coils with revised ignition coil IC-2042-B and the associated connector free of charge.
S-RC202209-1,RC-2022-09,,1,Defect Description,"On certain Heron vehicles, the front brake hose BH-7745 can contact the strut bracket, abrading the hose and risking brake fluid loss."
S-RC202209-2,RC-2022-09,,2,Remedy,Dealers will inspect and replace brake hose BH-7745 with a revised routing clip free of charge.
